metrica,valor
total_procesados,100
registros_validos,88
registros_invalidos,12
indice_satisfaccion_medio_cerrados,
categoria:fallo_operativo,30
categoria:queja,30
categoria:solicitud,28
estado:abierto,20
estado:cerrado,22
estado:descartado,0
invalido:campo_faltante:categoria,1
invalido:campo_faltante:cliente_id,1
invalido:campo_faltante:estado,1
invalido:campo_faltante:fecha_creacion,1
invalido:campo_faltante:incidente_id,1
invalido:categoria_fuera_de_rango,2
invalido:estado_fuera_de_rango,2
invalido:fecha_creacion_invalida,1
invalido:tiempo_resolucion_fuera_de_rango,1
invalido:tiempo_resolucion_no_numerico,1
coincide_con_expected,si
